x,y,z
9.334396362304687500e+00,-5.337170362472534180e-01,9.000000000000000000e+00
9.334396362304687500e+00,-4.337170720100402832e-01,9.000000000000000000e+00
9.334396362304687500e+00,-3.337170481681823730e-01,9.000000000000000000e+00
9.334396362304687500e+00,-2.337170541286468506e-01,9.000000000000000000e+00
9.334396362304687500e+00,-1.337170600891113281e-01,9.000000000000000000e+00
9.334396362304687500e+00,-3.371705859899520874e-02,9.000000000000000000e+00
9.334396362304687500e+00,6.628294289112091064e-02,9.000000000000000000e+00
9.234395980834960938e+00,1.662829369306564331e-01,9.000000000000000000e+00
9.134395599365234375e+00,2.662829458713531494e-01,9.000000000000000000e+00
9.034396171569824219e+00,3.662829399108886719e-01,9.000000000000000000e+00
8.934395790100097656e+00,4.662829339504241943e-01,9.000000000000000000e+00
8.834396362304687500e+00,5.662829279899597168e-01,9.000000000000000000e+00
8.734395980834960938e+00,5.662829279899597168e-01,9.000000000000000000e+00
8.634395599365234375e+00,6.662829518318176270e-01,9.000000000000000000e+00
8.534396171569824219e+00,6.662829518318176270e-01,9.000000000000000000e+00
8.434395790100097656e+00,7.662829160690307617e-01,9.000000000000000000e+00
8.334396362304687500e+00,7.662829160690307617e-01,9.000000000000000000e+00
8.234395980834960938e+00,8.662829399108886719e-01,9.000000000000000000e+00
8.134395599365234375e+00,9.662829637527465820e-01,9.000000000000000000e+00
8.034396171569824219e+00,1.066282987594604492e+00,9.000000000000000000e+00
7.934396266937255859e+00,1.166282892227172852e+00,9.000000000000000000e+00
7.834395885467529297e+00,1.266282916069030762e+00,9.000000000000000000e+00
7.734395980834960938e+00,1.366282939910888672e+00,9.000000000000000000e+00
7.634396076202392578e+00,1.466282963752746582e+00,9.000000000000000000e+00
7.534396171569824219e+00,1.566282987594604492e+00,9.000000000000000000e+00
7.434396266937255859e+00,1.666282892227172852e+00,9.000000000000000000e+00
7.334395885467529297e+00,1.766282916069030762e+00,9.000000000000000000e+00
7.234395980834960938e+00,1.866282939910888672e+00,9.000000000000000000e+00
7.134396076202392578e+00,1.966282963752746582e+00,9.000000000000000000e+00
7.034396171569824219e+00,2.066282987594604492e+00,9.000000000000000000e+00
6.934396266937255859e+00,2.166282892227172852e+00,9.000000000000000000e+00
